fecha,tweet
2018-06-07 02:59:43,b'RT @CarolyGarcia_B: El avi\xc3\xb3n esta inundado de mosquitos \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #volaris'
2018-06-07 02:59:18,b'RT @OmarMayahua: Mientras tu pagas la porqueria de sevicio de @viajaVolaris dejas pasar la oportunidad de ver a la #PanteraRosa comiendo pa\xe2\x80\xa6'
2018-06-07 02:55:59,b'RT @erimitzu: Por cuesti\xc3\xb3n de horario decid\xc3\xad volar con volaris nuevamente p\xc3\xa9sima experiencia .... de verdad #volaris @viajaVolaris .. p\xc3\xa9sim\xe2\x80\xa6'
2018-06-07 02:53:36,"b'RT @LICJHERNANDEZ: Puedes viajar de trabajo por dos dias y no pasa nada, el verdadero martirio es volar en #Volaris @viajaVolaris eso si ca\xe2\x80\xa6'"
2018-06-07 02:47:25,"b""RT @sangild: @flyvolaris Be aware!!! Suitcases get list in that flight, and volaris wouldn't care!!!!! HELP!!! #Volaris"""
2018-06-06 19:35:15,b'RT @CapGRendon: Apenas unas horas antes de la #erupci\xc3\xb3n logr\xc3\xa9 captar esta imagen del #VolcanDeFuego en #Guatemala \n\n#Fumarola #Erupcion #Vo\xe2\x80\xa6'
2018-06-06 19:31:40,"b'\xe2\xad\x95\xef\xb8\x8f #Texas | #Volaris report\xc3\xb3 hoy una amenaza de bomba en su ruta #Houston - #Guadalajara, vuelo 891, durante el pro\xe2\x80\xa6 https://t.co/PLZ7dYAmwL'"
2018-06-06 19:09:35,"b'RT @caminosdelaire: La aerol\xc3\xadnea mexicana @viajaVolaris recibe ""amenza de bomba"" en sus mostradores del aeropuerto de Houston. Activan prot\xe2\x80\xa6'"
2018-06-06 19:01:45,"b'La aerol\xc3\xadnea mexicana @viajaVolaris recibe ""amenza de bomba"" en sus mostradores del aeropuerto de Houston. Activan\xe2\x80\xa6 https://t.co/dkXjcb4zxa'"
2018-06-06 18:31:11,b'#CDMX #Guatemala #VolcanFuego #voluntarios #AyudaGuatemala #Ayuda #volaris \xf0\x9f\x92\x99 \xf0\x9f\x87\xac\xf0\x9f\x87\xb9\nContacto por dm con @fratta https://t.co/mdvnS5VR1F'
